"amd64_code","aarch64_code"
"add rsp, 0x8;retn","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"mov rcx, qword ptr [rsp+0x48];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rcx, qword ptr [rsp+0x48];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rbx, qword ptr [rsp+0x38];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x48;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rbx, qword ptr [rsp+0x38];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x48;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rbx, qword ptr [rsp+0x38];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x48;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"mov rax, qword ptr [rbp-0x38];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"lea rsp, [rbp-0x28];mov eax, r8d;pop rbx ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;pop rbp ;retn","mov sp, x29;ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x29, x30, [] # 0x50;ret"
"mov rax, qword ptr [rbp-0x38];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"lea rsp, [rbp-0x28];mov eax, r8d;pop rbx ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;pop rbp ;retn","mov sp, x29;ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x29, x30, [] # 0x50;ret"
"mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;retn","mov w0, w21;ldp x19, x20, [];ldr x21, [];ldp x29, x30, [] # 0x30;ret"
"mov rdx, qword ptr [rsp+0x28];xor rdx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x1, x1, x0;cbnz x1, 0x1000"
"add rsp, 0x38;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x23, x24, [];ldr x25, [];ldp x29, x30, [];add sp, sp, # 0x60;ret"
"mov rbx, qword ptr [rsp+0x38];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x40;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x60;ret"
"mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;retn","mov w0, w21;ldp x19, x20, [];ldr x21, [];ldp x29, x30, [] # 0x30;ret"
"mov rcx, qword ptr [rsp+0x28];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];cmp x1, x0;b.ne 0x1000"
"add rsp, 0x38;pop rbx ;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [];add sp, sp, # 0x80;ret"
"mov rcx, qword ptr [rsp+0x38];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x40;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x60;ret"
"mov rax, qword ptr [rsp+0x48];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;mov eax, r8d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rax, qword ptr [rsp+0x48];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
