"amd64_code","aarch64_code"
";sub rsp, 0x8;mov rax, qword ptr [0x1000];test rax, rax;je 0x2000","stp x29, x30, []!;mov x29, sp"
"call rax","mov x0, x19;blr x8"
"push qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];str x1, []"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x0 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1 ;jmp 0x1000","mov w6, # 0x1;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x3 ;jmp 0x1000","mov w0, # 0x3;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x4 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5 ;jmp 0x1000","mov w0, # 0x5;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x7 ;jmp 0x1000","mov w2, # 0x7;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x8 ;jmp 0x1000","mov w26, # 0x8;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x9 ;jmp 0x1000","mov w0, # 0x9;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0xa ;jmp 0x1000","mov w1, # 0xa;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0xb ;jmp 0x1000","stp x29, x30, [];b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0xc ;jmp 0x1000","mov w1, # 0xc;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0xd ;jmp 0x1000","mov w0, # 0xd;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0xe ;jmp 0x1000","stp x29, x30, []!;mov x29, sp"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0xf ;jmp 0x1000","mov w1, # 0xf;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x10 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x11 ;jmp 0x1000","mov w1, # 0x11;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x12 ;jmp 0x1000","mov w0, # 0x12;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x13 ;jmp 0x1000","mov w26, # 0x13;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x14 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x15 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x16 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x17 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x18 ;jmp 0x1000","mov w0, # 0x18;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x19 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1a ;jmp 0x1000","mov w1, # 0x1a;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1b ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1c ;jmp 0x1000","mov w0, # 0x1c;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1d ;jmp 0x1000","mov w2, # 0x1d;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1e ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x1f ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x20 ;jmp 0x1000","mov w0, # 0x20;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x21 ;jmp 0x1000","mov w0, # 0x21;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x22 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x23 ;jmp 0x1000","mov w0, # 0x23;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x24 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x25 ;jmp 0x1000","str x21, [];b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x26 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x27 ;jmp 0x1000","mov w0, # 0x27;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x28 ;jmp 0x1000","mov w26, # 0x28;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x29 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2a ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2b ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2c ;jmp 0x1000","mov w0, # 0x2c;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2d ;jmp 0x1000","mov x2, # 0x2d;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2e ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x2f ;jmp 0x1000","mov w6, # 0x2f;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x30 ;jmp 0x1000","mov w0, # 0x30;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x31 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x32 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x33 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x34 ;jmp 0x1000","stur x29, x30, [];b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x35 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x36 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x37 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x38 ;jmp 0x1000","mov w6, # 0x38;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x39 ;jmp 0x1000","mov w0, # 0x39;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x3a ;jmp 0x1000","mov w1, # 0x3a;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x3b ;jmp 0x1000","mov w0, # 0x3b;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x3c ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x3d ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x3e ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x3f ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x40 ;jmp 0x1000","mov w1, # 0x40;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x41 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x42 ;jmp 0x1000","mov w0, # 0x42;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x43 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x44 ;jmp 0x1000","mov w26, # 0x44;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x45 ;jmp 0x1000","mov w0, # 0x45;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x46 ;jmp 0x1000","mov w26, # 0x46;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x47 ;jmp 0x1000","mov w1, # 0x47;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x48 ;jmp 0x1000","mov w6, # 0x48;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x49 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x4a ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x4b ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x4c ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x4d ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x4e ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x4f ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x50 ;jmp 0x1000","mov w26, # 0x50;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x51 ;jmp 0x1000","mov w1, # 0x51;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x52 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
